JVM,Mean,error,benchmark,Mode,GC,status
JDK0.5-1-0.5,-0.333235,0.029788,jython,Circling,Gencon,worst
Original,-0.32655,0.017189,jython,Circling,Gencon,original
JDK1-1-0.5,-0.477647,0.019192,jython,Circling,OptAvgPause,best
JDK0.5-1-0.5,-0.394787,0.025634,jython,Circling,OptAvgPause,worst
Original,-0.336698,0.014937,jython,Circling,OptAvgPause,original
JDK1-1-0.5,-0.409595,0.016777,jython,Circling,Optthruput,best
JDK0.5-1-0.5,-0.326106,0.02101,jython,Circling,Optthruput,worst
Original,0.1028,0.014198,jython,Circling,Optthruput,original
JDK1-1-0.5,-0.43956,0.019531,pmd,Circling,Balanced,best
JDK0.5-0.5-1,-0.35369,0.024182,pmd,Circling,Balanced,worst
Original,-0.010466,0.017328,pmd,Circling,Balanced,original
JDK1-1-0.5,-0.503844,0.018384,pmd,Circling,Gencon,best
JDK0.5-1-0.5,-0.413709,0.025545,pmd,Circling,Gencon,worst
Original,-0.40357,0.014991,pmd,Circling,Gencon,original
JDK1-1-0.5,-0.410158,0.016557,pmd,Circling,OptAvgPause,best
JDK0.5-1-0.5,-0.323395,0.020792,pmd,Circling,OptAvgPause,worst
Original,0.246763,0.014811,pmd,Circling,OptAvgPause,original
JDK1-1-0.5,-0.598485,0.073485,pmd,Circling,Optthruput,best
JDK0.5-0.5-1,-0.205303,0.176605,pmd,Circling,Optthruput,worst
Original,0.083705,0.100162,pmd,Circling,Optthruput,original
JDK1-1-0.5,-0.323374,0.020621,sunflow,Circling,Balanced,best
JDK0.5-1-0.5,-0.226298,0.026195,sunflow,Circling,Balanced,worst
Original,0.161022,0.016575,sunflow,Circling,Balanced,original
JDK1-1-0.5,-0.427453,0.016391,sunflow,Circling,Gencon,best
JDK0.5-1-0.5,-0.337526,0.020985,sunflow,Circling,Gencon,worst
Original,0.101651,0.014564,sunflow,Circling,Gencon,original
JDK1-1-0.5,-0.441443,0.019127,sunflow,Circling,OptAvgPause,best
JDK0.5-0.5-1,-0.355793,0.023676,sunflow,Circling,OptAvgPause,worst
Original,0.092066,0.017002,sunflow,Circling,OptAvgPause,original
JDK1-1-0.5,-0.408636,0.01669,sunflow,Circling,Optthruput,best
JDK0.5-1-0.5,-0.320686,0.020976,sunflow,Circling,Optthruput,worst
Original,0.250318,0.014928,sunflow,Circling,Optthruput,original
JDK0.5-1-0.5,0.408776,0.068747,xalan,Circling,Balanced,best
JDK1-1-1,0.664674,0.079798,xalan,Circling,Balanced,worst
Original,0.803524,0.052785,xalan,Circling,Balanced,original
JDK1-1-0.5,-0.467826,0.012059,xalan,Circling,Gencon,best
JDK0.5-1-0.5,-0.404506,0.01486,xalan,Circling,Gencon,worst
Original,0.124996,0.012676,xalan,Circling,Gencon,original
JDK1-1-0.5,-0.312833,0.020676,xalan,Circling,OptAvgPause,best
JDK0.5-1-0.5,-0.199001,0.02661,xalan,Circling,OptAvgPause,worst
Original,0.269023,0.016439,xalan,Circling,OptAvgPause,original
JDK1-1-0.5,-0.4521,0.019522,xalan,Circling,Optthruput,best
JDK0.5-0.5-1,-0.357404,0.025841,xalan,Circling,Optthruput,worst
Original,-0.010872,0.017605,xalan,Circling,Optthruput,original
Geometric mean,-0.190508356,0,avrora,CatNap,Gencon,geom
Geometric mean,0.446643169,0,avrora,CatNap,Balanced,geom
Geometric mean,-0.064767098,0,avrora,CatNap,OptAvgPause,geom
Geometric mean,-0.195946942,0,avrora,CatNap,Optthruput,geom
Geometric mean,-0.262623693,0,avrora,CatsMeow,Gencon,geom
Geometric mean,0.519613822,0,avrora,CatsMeow,Balanced,geom
Geometric mean,-0.149777354,0,avrora,CatsMeow,OptAvgPause,geom
Geometric mean,-0.256482594,0,avrora,CatsMeow,Optthruput,geom
Geometric mean,-0.388951233,0,avrora,Circling,Gencon,geom
Geometric mean,0.417661918,0,avrora,Circling,Balanced,geom
Geometric mean,-0.25052395,0,avrora,Circling,OptAvgPause,geom
Geometric mean,-0.310268105,0,avrora,Circling,Optthruput,geom
Geometric mean,-0.403593249,0,jython,CatNap,Gencon,geom
Geometric mean,-0.15179809,0,jython,CatNap,Balanced,geom
Geometric mean,-0.370303963,0,jython,CatNap,OptAvgPause,geom
Geometric mean,-0.089806149,0,jython,CatNap,Optthruput,geom
Geometric mean,-0.369017935,0,jython,CatsMeow,Gencon,geom
Geometric mean,-0.209464791,0,jython,CatsMeow,Balanced,geom
Geometric mean,-0.38237356,0,jython,CatsMeow,OptAvgPause,geom
Geometric mean,-0.190121825,0,jython,CatsMeow,Optthruput,geom
Geometric mean,-0.370365509,0,jython,Circling,Gencon,geom
Geometric mean,-0.307402615,0,jython,Circling,Balanced,geom
Geometric mean,-0.391674638,0,jython,Circling,OptAvgPause,geom
Geometric mean,-0.259754371,0,jython,Circling,Optthruput,geom
Geometric mean,-0.471540068,0,pmd,CatNap,Gencon,geom
Geometric mean,-0.20565511,0,pmd,CatNap,Balanced,geom
Geometric mean,-0.064431087,0,pmd,CatNap,OptAvgPause,geom
Geometric mean,-0.323742268,0,pmd,CatNap,Optthruput,geom
Geometric mean,-0.444901199,0,pmd,CatsMeow,Gencon,geom
Geometric mean,-0.266346322,0,pmd,CatsMeow,Balanced,geom
Geometric mean,-0.152423267,0,pmd,CatsMeow,OptAvgPause,geom
Geometric mean,-0.32934487,0,pmd,CatsMeow,Optthruput,geom
Geometric mean,-0.442423252,0,pmd,Circling,Gencon,geom
Geometric mean,-0.311700229,0,pmd,Circling,Balanced,geom
Geometric mean,-0.249079617,0,pmd,Circling,OptAvgPause,geom
Geometric mean,-0.414521913,0,pmd,Circling,Optthruput,geom
